Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bangladesh,BGD,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.174321434,0.169391839,0.164840402,0.160768949,0.158472184,0.15392515,0.149794399,0.144931457,0.140555728,0.137578359,0.134850901,0.137079223,0.134998994,0.132829573,0.130504946,0.12753239,0.124292859,0.120940968,0.117607544,0.114528597,0.111401207,0.10846859,0.105511229,0.103883291,0.100832729,0.098307078,0.096528568,0.097131628,0.094870182,0.091652812,0.088873842,0.07972499,0.077081564,0.074580209,0.072970434,0.071032768,0.069823237,0.068909405,0.06738576,0.065409211,0.063825678,0.0622971,0.06104238,0.059443845,0.056899135,0.055917794,0.054787461,0.054073284,0.05342478,0.05279334,0.051435913,0.050792774,0.050261384,0.049631956,0.049484345,0.049147677,0.048578824,0.048162463,,
Bulgaria,BGR,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.535306161,0.518411081,0.512246314,0.51323987,0.507912563,0.504477022,0.498903399,0.496319837,0.492994452,0.487892561,0.48404508,0.481332058,0.477904625,0.472188087,0.453745794,0.449843634,0.447173804,0.445426111,0.441539371,0.431866488,0.430092192,0.428148967,0.426410707,0.424856197,0.425197256,0.426314702,0.426356809,0.427548081,0.433481146,0.442288619,0.44761767,0.473878488,0.479562075,0.473850522,0.475608867,0.502581304,0.517079504,0.428253802,0.435776867,0.431569862,0.432880326,0.428088692,0.427377524,0.429319697,0.414285364,0.412049853,0.408861737,0.412142123,0.422597097,0.430796748,0.442277481,0.454017362,0.478863721,0.482562281,0.488952967,0.490472405,0.493090183,0.49508636,,
Bahrain,BHR,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.005955962,0.005775673,0.005613499,0.005467827,0.005335268,0.005214172,0.005100479,0.004983753,0.004853497,0.004703514,0.004539038,0.004363935,0.004174895,0.003969703,0.003751782,0.007048558,0.006596981,0.006182992,0.005834238,0.005557146,0.005345878,0.005181978,0.00504476,0.004911193,0.004768399,0.004613844,0.004454531,0.004299245,0.004157304,0.004032852,0.0039234,0.003823492,0.003729868,0.003639076,0.003547999,0.003456255,0.003361757,0.003258937,0.003141986,0.003009284,0.002867178,0.00272057,0.002183103,0.001807564,0.001686991,0.001512902,0.00135145,0.001076576,0.001147607,0.001289424,0.001251806,0.001230824,0.001216703,0.001197539,0.001166306,0.001122183,0.001070895,0.001019472,,
"Bahamas, The",BHS,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.060806644,0.057807287,0.054970944,0.052354063,0.049978581,0.047820414,0.045865248,0.044122838,0.042614069,0.041328169,0.040254408,0.039356134,0.038563456,0.037816374,0.037057625,0.036287668,0.035514967,0.034742558,0.033982067,0.033240103,0.032509602,0.031791881,0.031097981,0.030446299,0.03410365,0.033470003,0.032885947,0.032329633,0.031779072,0.031222315,0.030650519,0.030072022,0.029513216,0.02175103,0.021414881,0.021128248,0.020879515,0.020646937,0.020403791,0.023486386,0.023131473,0.022752611,0.022355432,0.021950937,0.02154854,0.021145992,0.020747687,0.020367784,0.025743707,0.025356684,0.022247993,0.02200335,0.021788747,0.02158516,0.021378942,0.021168333,0.020956178,0.020745005,,
Bosnia and Herzegovina,BIH,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.200771292,0.208387473,0.215926374,0.221987235,0.239080719,0.240894844,0.254395826,0.253783172,0.266583066,0.268937887,0.26520267,0.270322066,0.273099633,0.272220351,0.272744994,0.2716069,0.268494918,0.266866884,0.270950199,0.274502188,0.278226849,0.28481922,0.288905622,0.298014616,0.30298887,0.316273086,0.309573399,,
Belarus,BLR,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595536413,0.596151968,0.608682898,0.611340004,0.613188976,0.610358802,0.614460224,0.616551465,0.614553074,0.580245915,0.56925373,0.568453882,0.570186717,0.573473587,0.576787489,0.577243712,0.578926184,0.583163673,0.583209693,0.583648223,0.583443702,0.587333801,0.597613956,0.598274999,0.598198144,0.602952287,0.602309338,,
Belize,BLZ,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.380147835,0.369640217,0.369390506,0.358982817,0.348661892,0.347514358,0.337157408,0.327402748,0.326991926,0.319190729,0.320525662,0.31458412,0.317106749,0.312250105,0.315163885,0.310781912,0.313891525,0.309408167,0.304312749,0.312192144,0.311712249,0.303658424,0.295212425,0.286888569,0.260735638,0.259481391,0.281071283,0.279293722,0.283423538,0.277253484,0.282521346,0.288178506,0.303605313,0.297502467,0.299571902,0.294860994,0.28884125,0.277961155,0.267805958,0.258784521,0.254834005,0.26678151,0.259809671,0.253149908,0.24665431,0.240270751,0.234089442,0.228145309,0.232000127,0.232583381,0.227110309,0.230768548,0.22562459,0.220734309,0.243817292,0.238871441,0.239505023,0.234943392,,
Bermuda,BMU,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.008791209,0.006437768,0.006289308,0.008179959,0.007984032,0.007843137,0.007692308,0.005660377,0.005555556,0.005454545,0.005494505,0.005535055,0.005576208,0.005617978,0.005660377,0.005639098,0.005617978,0.005597015,0.005576208,0.00548747,0.005449591,0.005410377,0.005363848,0.005316981,0.005272593,0.00522812,0.005185915,0.005141653,0.005098486,0.005056805,0.005082937,0.005119891,0.005092514,0.005057316,0.006695009,0.006652364,0.006611898,0.00656351,0.006526883,0.006469038,0.00639959,0.006358087,0.006316621,0.006275494,0.006234997,0.00619934,0.006164468,0.004596081,0.004570662,0.004606597,0.004646552,0.004629773,0.004615314,0.004605607,0.004598617,0.004647272,0.00469682,0.00469344,,
Bolivia,BOL,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.347014203,0.34078395,0.336152564,0.33882811,0.340442179,0.342994341,0.344050621,0.346246046,0.347895585,0.348795407,0.347247079,0.348966938,0.350612088,0.349733683,0.350301005,0.353381215,0.352890344,0.351172865,0.34966232,0.348212129,0.347545364,0.347072688,0.345704533,0.345714642,0.331744198,0.326510997,0.321287684,0.316094146,0.310960217,0.305906664,0.300936068,0.300240877,0.300840014,0.31472686,0.34110287,0.345790889,0.361828914,0.367307371,0.371802769,0.37347341,0.367122427,0.377452498,0.394573436,0.39463917,0.412248258,0.415626757,0.436368369,0.438823111,0.450591262,0.427621886,0.424754804,0.426106922,0.427417921,0.417409322,0.406265766,0.402290755,0.378902501,0.394604488,,
Brazil,BRA,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.317959556,0.315718641,0.313395588,0.311060669,0.30879104,0.306593611,0.304455635,0.302388354,0.300399129,0.296551695,0.300862937,0.304948795,0.308763498,0.312273793,0.315456033,0.33306026,0.349663001,0.365319466,0.380052626,0.393940074,0.392837028,0.391625748,0.390401411,0.389277917,0.391114882,0.375022858,0.359716249,0.345107993,0.331132107,0.317711244,0.304824316,0.292448987,0.280518052,0.268991213,0.262702316,0.262066539,0.261451166,0.260882493,0.260395458,0.260014371,0.259740551,0.25956691,0.259497256,0.25953434,0.259677381,0.25994945,0.260542177,0.261203486,0.261916114,0.262654155,0.263408455,0.264191457,0.264987492,0.265801957,0.266628508,0.267458201,0.268300889,0.266206049,,
